burn_units,burn_tao,n_entries,n_quits,n_rereg,eq_crowd,skilled_steady_share,skilled_net_tao,noise_total_burn_tao,noise_total_emis_tao,entrants_cleared,mom24_n,mom24_net_pc_tao,mom72_n,mom72_net_pc_tao,mom168_n,mom168_net_pc_tao,tmom72_n,tmom72_net_pc_tao,tmom168_n,tmom168_net_pc_tao,coinflip_n,coinflip_net_pc_tao,lottery_n,lottery_net_pc_tao,cell,wr,burn_mult,entries_per_day,seed,clear_day,cleared,noise_passes,skilled_paid_pd,noise_paid_pd,mom_ev_pd,unalloc_steady
0.0,0.0,48,47,0,0.9329608938547486,0.5426630542711849,5505.908887856011,0.0,1298.5661121431638,2,0,,0,,0,,27,0.40429196148657215,21,54.680186178027746,0,,0,,headline-50,0.5,0.0,1,2,36.0,1,2,550.590888785601,129.8566112143164,2.754223906975716,9.145901499414407e-17
0.0,0.0,48,47,0,0.9329608938547486,0.5968429667722625,5161.368482659172,0.0,1224.2398506742095,2,0,,0,,0,,19,0.28701139680212706,29,37.221390161742264,0,,0,,headline-50,0.5,0.0,1,3,36.0,1,2,516.1368482659171,122.42398506742094,1.8754200779272194,6.044719866383243e-17
0.0,0.0,48,47,0,0.9329608938547486,0.5892971684571594,5461.511208574575,0.0,1409.6637914250578,2,0,,0,,0,,25,-0.263012622281315,23,55.51620815381072,0,,0,,headline-50,0.5,0.0,1,4,29.0,1,2,546.1511208574575,140.9663791425058,2.7626597765764704,6.507312793310391e-17
0.0,0.0,48,47,0,0.9329608938547486,0.9093910661704229,6258.977412052597,0.0,612.1975879461544,1,0,,0,,0,,25,-0.17046717650432056,23,20.743171648448627,0,,0,,headline-50,0.5,0.0,1,5,29.0,1,1,625.8977412052596,61.21975879461544,1.0286352235972154,1.0223562116892736e-16
0.0,0.0,48,47,0,0.9329608938547486,0.9799353154570594,6319.77574328609,0.0,551.3659233800819,1,0,,0,,0,,25,-0.045982244584585115,23,17.963006958706636,0,,0,,headline-50,0.5,0.0,1,6,29.0,1,1,631.977574328609,55.136592338008185,0.8958512357061025,9.18208195179977e-17
0.0,0.0,48,47,0,0.9329608938547486,0.6046547962315904,6063.374384514586,0.0,807.8006154838016,1,0,,0,,0,,25,0.8234741467439837,23,28.167280103076447,0,,0,,headline-50,0.5,0.0,1,7,29.0,1,1,606.3374384514586,80.78006154838016,1.4495377124910216,1.4136219610567055e-17
0.0,0.0,48,47,0,0.9329608938547486,0.5413658397546723,5368.029576321828,0.0,1419.3120903445122,2,0,,0,,0,,21,0.02310758954431015,27,47.38742635257917,0,,0,,headline-50,0.5,0.0,1,8,29.0,1,2,536.8029576321828,141.93120903445123,2.370526697106174,6.3574223477138854e-18
0.0,0.0,48,47,0,0.9329608938547486,0.6212790237046129,4659.002093648133,0.0,1127.764573018544,2,0,,0,,0,,24,1.2589907652765109,24,39.924269800311,0,,0,,headline-50,0.5,0.0,1,9,50.5,1,2,465.9002093648133,112.7764573018544,2.0591630282793756,5.845727378263743e-17
12.0,5.0,48,47,0,0.9329608938547486,0.98,6730.82905268554,240.0,135.84594731225008,0,0,,0,,0,,25,-4.553306374764547,23,-5.638596207090438,0,,0,,burn-0.5x,0.5,0.5,1,0,29.0,1,0,673.582905268554,13.584594731225007,-0.5095951290927492,1.3722728726162899e-17
12.0,5.0,48,47,0,0.9329608938547486,0.9800000000000002,6443.907042084517,240.0,136.1929579134,0,0,,0,,0,,20,-4.106127517988478,28,-5.751814684688366,0,,0,,burn-0.5x,0.5,0.5,1,1,58.0,1,0,644.8907042084517,13.619295791339999,-0.4928971101338422,-1.2068765188546278e-17
12.0,5.0,48,47,0,0.9329608938547486,0.5426630542711849,5500.908887856011,240.0,1298.5661121431638,2,0,,0,,0,,27,-4.595708038513428,21,49.68018617802774,0,,0,,burn-0.5x,0.5,0.5,1,2,36.0,1,2,550.590888785601,129.8566112143164,2.2542239069757155,9.145901499414407e-17
12.0,5.0,48,47,0,0.9329608938547486,0.5968429667722625,5156.368482659172,240.0,1224.2398506742095,2,0,,0,,0,,19,-4.712988603197873,29,32.221390161742264,0,,0,,burn-0.5x,0.5,0.5,1,3,36.0,1,2,516.1368482659171,122.42398506742094,1.3754200779272194,6.044719866383243e-17
12.0,5.0,48,47,0,0.9329608938547486,0.5892971684571594,5456.511208574575,240.0,1409.6637914250578,2,0,,0,,0,,25,-5.263012622281315,23,50.516208153810716,0,,0,,burn-0.5x,0.5,0.5,1,4,29.0,1,2,546.1511208574575,140.9663791425058,2.26265977657647,6.507312793310391e-17
36.0,15.0,48,47,0,0.9329608938547486,0.98,6720.82905268554,720.0,135.84594731225008,0,0,,0,,0,,25,-14.553306374764547,23,-15.63859620709044,0,,0,,burn-1.5x,0.5,1.5,1,0,29.0,1,0,673.582905268554,13.584594731225007,-1.5095951290927494,1.3722728726162899e-17
36.0,15.0,48,47,0,0.9329608938547486,0.9800000000000002,6433.907042084517,720.0,136.1929579134,0,0,,0,,0,,20,-14.106127517988476,28,-15.751814684688368,0,,0,,burn-1.5x,0.5,1.5,1,1,58.0,1,0,644.8907042084517,13.619295791339999,-1.4928971101338422,-1.2068765188546278e-17
36.0,15.0,48,47,0,0.9329608938547486,0.5426630542711849,5490.908887856011,720.0,1298.5661121431638,2,0,,0,,0,,27,-14.595708038513429,21,39.68018617802773,0,,0,,burn-1.5x,0.5,1.5,1,2,36.0,1,2,550.590888785601,129.8566112143164,1.254223906975715,9.145901499414407e-17
36.0,15.0,48,47,0,0.9329608938547486,0.5968429667722625,5146.368482659172,720.0,1224.2398506742095,2,0,,0,,0,,19,-14.712988603197873,29,22.221390161742264,0,,0,,burn-1.5x,0.5,1.5,1,3,36.0,1,2,516.1368482659171,122.42398506742094,0.37542007792721943,6.044719866383243e-17
36.0,15.0,48,47,0,0.9329608938547486,0.5892971684571594,5446.511208574575,720.0,1409.6637914250578,2,0,,0,,0,,25,-15.263012622281318,23,40.516208153810716,0,,0,,burn-1.5x,0.5,1.5,1,4,29.0,1,2,546.1511208574575,140.9663791425058,1.26265977657647,6.507312793310391e-17
72.0,30.0,48,47,0,0.9329608938547486,0.98,6705.82905268554,1440.0,135.84594731225008,0,0,,0,,0,,25,-29.553306374764553,23,-30.63859620709044,0,,0,,burn-3.0x,0.5,3.0,1,0,29.0,1,0,673.582905268554,13.584594731225007,-3.00959512909275,1.3722728726162899e-17
72.0,30.0,48,47,0,0.9329608938547486,0.9800000000000002,6418.907042084517,1440.0,136.1929579134,0,0,,0,,0,,20,-29.106127517988483,28,-30.751814684688366,0,,0,,burn-3.0x,0.5,3.0,1,1,58.0,1,0,644.8907042084517,13.619295791339999,-2.9928971101338426,-1.2068765188546278e-17
72.0,30.0,48,47,0,0.9329608938547486,0.5426630542711849,5475.908887856011,1440.0,1298.5661121431638,2,0,,0,,0,,27,-29.59570803851343,21,24.68018617802773,0,,0,,burn-3.0x,0.5,3.0,1,2,36.0,1,2,550.590888785601,129.8566112143164,-0.24577609302428516,9.145901499414407e-17
72.0,30.0,48,47,0,0.9329608938547486,0.5968429667722625,5131.368482659172,1440.0,1224.2398506742095,2,0,,0,,0,,19,-29.712988603197875,29,7.221390161742254,0,,0,,burn-3.0x,0.5,3.0,1,3,36.0,1,2,516.1368482659171,122.42398506742094,-1.124579922072781,6.044719866383243e-17
72.0,30.0,48,47,0,0.9329608938547486,0.5892971684571594,5431.511208574575,1440.0,1409.6637914250578,2,0,,0,,0,,25,-30.263012622281323,23,25.516208153810723,0,,0,,burn-3.0x,0.5,3.0,1,4,29.0,1,2,546.1511208574575,140.9663791425058,-0.23734022342353,6.507312793310391e-17
0.0,0.0,144,141,0,2.798882681564246,0.4251105319405879,5243.63831863715,0.0,1628.0366813623596,3,0,,0,,0,,76,-1.830532100902889,68,20.288679854478453,0,,0,,crowd-3x,0.5,0.0,3,0,29.0,1,3,524.3638318637151,162.80366813623596,0.9229073876787781,1.3634861913227015e-16
0.0,0.0,144,141,0,2.798882681564246,0.624604845011477,4981.776232500662,0.0,1604.432100832491,4,0,,0,,0,,66,-1.615532790867757,78,16.863232166193566,0,,0,,crowd-3x,0.5,0.0,3,1,58.0,1,4,498.17762325006623,160.44321008324908,0.7623849687662904,4.8714394818864524e-17
0.0,0.0,144,141,0,2.798882681564246,0.3921651306824328,5235.367404224814,0.0,1569.7075957744503,4,0,,0,,0,,69,-1.7989151947357593,75,17.06663360092971,0,,0,,crowd-3x,0.5,0.0,3,2,36.0,1,4,523.5367404224813,156.97075957744502,0.7633859203096974,6.608101196383905e-17
0.0,0.0,144,141,0,2.798882681564246,0.5134761701277737,5414.158996975883,0.0,971.5826696898008,2,0,,0,,0,,68,-1.5642350214607297,76,9.035400613114497,0,,0,,crowd-3x,0.5,0.0,3,3,36.0,1,2,541.4158996975883,97.15826696898009,0.3735582795826884,3.651641372894195e-17
0.0,0.0,144,141,0,2.798882681564246,0.5079039645139027,5011.6089027665375,0.0,1860.666097233245,5,0,,0,,0,,78,-1.7881822821539388,66,24.618702932161543,0,,0,,crowd-3x,0.5,0.0,3,4,29.0,1,5,501.1608902766538,186.0666097233245,1.1415260325003802,3.388040934086546e-17
