study,seed,wr,burn_mult,thr,exit_z,block_h,min_n,epd,dust,cad,cool,stat,gamma,tau,join_day,cleared,clear_day,steady_share,sk_paid_pd,sk_trades,noise_paid_pd,mom_ev_pd,noise_passes,noise_pass_epochs,entries,quits,rereg,eq_crowd,unalloc_steady
wr,0,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,89.0,0.09621421273801214,119.421182308546,198,12.83548435812341,-0.024924692020574582,0,0.0,48,47,0,0.9329608938547486,0.8841899441340786
wr,1,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,61.0,0.98,493.63651463078804,200,13.463485369071355,0.0041295864246316955,0,0.0,48,47,0,0.9329608938547486,-1.111256751836167e-17
wr,2,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.3819193148438914,394.5787054218319,198,163.03546124477532,3.54483418297332,2,9336.0,48,47,0,0.9329608938547486,9.512874659323094e-17
wr,3,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.0,0.07035254908109209,69.01806355294204,199,420.0952697803608,7.00281066938285,2,14376.0,48,47,0,0.9329608938547486,8.212962691477531e-17
wr,4,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,127.5,0.3046617412890883,239.57667240587259,200,293.530827594145,6.079660485806239,2,14376.0,48,47,0,0.9329608938547486,7.326541608036124e-17
wr,5,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.0,216.02824909164198,198,241.7159175749835,4.952511879493785,1,5592.0,48,47,0,0.9329608938547486,1.0479409601617807e-16
wr,6,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,128.0,0.5336647469336613,334.3561641104059,198,255.60133588958712,5.254102732675965,1,10632.0,48,47,0,0.9329608938547486,9.530964885515776e-17
wr,7,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.20540570558529656,406.98185122584727,200,129.70564877407085,2.5131374347886446,1,3744.0,48,47,0,0.9329608938547486,0.12592178770949727
wr,8,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.015685787836374337,187.16875119940207,199,433.49458213390824,7.76937630312433,2,14376.0,48,47,0,0.9329608938547486,2.0597014679381977e-17
wr,9,0.35,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,188.5,0.4880083634797037,307.45998901642844,196,201.51751098359557,3.9079349799823166,2,14376.0,48,47,0,0.9329608938547486,5.5485308050982565e-17
wr,0,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,86.0,0.596759776536313,527.7061889011497,198,13.210477765361025,-0.01708874475566747,0,0.0,48,47,0,0.9329608938547486,0.3832402234636873
wr,1,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,61.0,0.98,571.0550417367618,197,13.464958263062945,0.004226898950781495,0,0.0,48,47,0,0.9329608938547486,-1.4265435511943353e-17
wr,2,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.4426988320153777,421.79573100897824,198,151.98843565762724,3.2818097642316983,2,9336.0,48,47,0,0.9329608938547486,9.267364446708128e-17
wr,3,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.49541165114346075,370.64911113775617,198,152.29088886225117,2.3894828506137045,2,14376.0,48,47,0,0.9329608938547486,5.651903526199295e-17
wr,4,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,92.5,0.47708197528164653,423.2749048169819,198,198.31259518303384,4.009301006923668,2,14376.0,48,47,0,0.9329608938547486,6.659787556934424e-17
wr,5,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5147399198358311,391.2665549324997,198,143.53761173411573,2.818196073211476,1,5592.0,48,47,0,0.9329608938547486,1.0450982103315021e-16
wr,6,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.9412239736893764,512.8232378205481,198,84.20092884612971,1.528129719168356,1,10632.0,48,47,0,0.9329608938547486,9.905690999507041e-17
wr,7,0.4,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.4849342304026113,526.5974571680946,199,98.78004283176959,1.8408416534342695,1,3744.0,48,47,0,0.9329608938547486,0.019162011173184376
