cell,wr,seed,n_actors,n_intents,sim_clear_day,sim_steady,sim_noise_pd,sim_passes,prod_clear_day,prod_stat,prod_steady,prod_noise_pd,prod_passes,prod_latched_end,prod_burn,prod_skilled_trades,close_clear_day,close_steady,close_noise_pd,close_passes,close_latched_end,days
headline-70,0.7,0,49,2202,25.5,0.98,13.61106319993842,0,22.75,10.830152638395111,0.9800000000000001,14.318105942434158,0,0,0.0,188,22.75,0.9800000000000001,14.266526999750644,0,0,730.0
headline-70,0.7,1,49,2203,29.0,0.9800000000000002,13.618110821984795,0,22.75,8.779733473741466,0.8909563149535695,51.99947186047219,3,3,0.0,189,22.75,0.8622276505106726,49.003630189348854,2,2,730.0
headline-70,0.7,2,49,2202,29.0,0.6473059060099785,98.47678767127097,2,22.625,8.575304459797332,0.8343517848076775,40.89631878380596,2,2,0.0,190,22.666666666666668,0.7880010262945174,49.30159740740717,2,2,730.0
headline-70,0.7,3,49,2202,29.0,0.6756446485907769,99.86366925608219,2,34.083333333333336,8.38682795196214,0.9278352935721959,64.57022682855,3,3,0.0,190,36.0,0.8658528465118108,45.4878337570507,2,2,730.0
headline-70,0.7,4,49,2201,22.0,0.6877508624728886,93.54572609883819,2,22.75,11.110422697976086,0.8739980996572297,45.384395436931165,3,3,1.1102230246251565e-16,186,22.75,0.8200443939709541,43.421502243535684,2,2,730.0
headline-50,0.5,0,49,2205,29.0,0.98,13.584594731224938,0,22.75,4.745646320518558,0.9800000000000003,14.336625914960804,0,0,0.0,192,22.75,0.9800000000000003,14.288349443043666,0,0,730.0
headline-50,0.5,1,49,2205,58.0,0.9800000000000002,13.61929579133996,0,81.04166666666667,4.7981050677496215,0.8788238025941711,120.68144072394178,3,3,1.1102230246251565e-16,192,83.41666666666667,0.8913085505219503,51.48868335416652,2,2,730.0
headline-50,0.5,2,49,2207,36.0,0.5426630542711849,129.85661121431505,2,34.083333333333336,3.696322699732796,0.6808682463473514,68.84897207080935,2,2,1.1102230246251565e-16,192,36.791666666666664,0.6229115326632069,79.29297292642998,2,2,730.0
headline-50,0.5,3,49,2207,36.0,0.5968429667722625,122.42398506742235,2,22.75,4.420866463305568,0.8971417171340793,138.36879491894447,3,3,0.0,196,36.0,0.8688608449379646,51.89572234130204,2,2,730.0
headline-50,0.5,4,49,2206,29.0,0.5892971684571594,140.9663791425045,2,22.75,4.702089222445721,0.7654487030787614,77.86379811326205,3,3,0.0,195,22.75,0.6099815575000623,81.78898134677088,2,2,730.0
