seed,skin,bond,adversary,breakw,sk_w,empty,gate_z,sk_policy,sk_topups_tao,sk_swept_tao,sk_ruin_weeks,clear_day,steady,sk_em_pd,sk_pre_clear_pd,sk_settle_tao,sk_net_tao,leak_pct,adv_ev_tao,adv_settle_tao,adv_stake_now,passes,entries,adv_entry_mean,adv_entry_min_frac,crowd
0,off,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.92793107563298,10.541231625473579,0,25.5,0.98,676.966436799839,0.27643680006159216,-2.3866994501593917,1270.3102017335377,1.901097112253528,0.037005461561096575,0.049722905211653984,0.10278047216708337,0,48,1.0,1.0,0.9329608938547486
1,off,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.12572991944593,11.91601995829734,0,29.0,0.9800000000000002,673.4327225111275,0.17272251134852842,0.04029003885140814,1266.093808359771,1.9020814742922427,-0.01328078759647977,-0.0008393758094043339,0.18013253624858783,0,48,1.0,1.0,0.9329608938547486
2,off,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,14.234367771910012,9.26929141131474,0,29.0,0.6473059060099785,588.6907123285972,0.341090931747365,-4.715076360595278,1102.0234628171672,13.754541722112249,3.4094208556557724,0.09823075751240162,0.12103662353276061,2,48,1.0,1.0,0.9329608938547486
3,off,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,13.615338720363631,11.157038589885374,0,29.0,0.6756446485907769,587.1371640772076,0.15630743619582357,-2.458300130478241,1101.3595683346718,13.948251540161545,3.4167242129333437,0.051214586051630005,0.13946439213920936,2,48,1.0,1.0,0.9329608938547486
4,off,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,8.159398920066863,9.849794563679893,0,22.0,0.6877508624728886,600.3517739011401,0.2147287206631422,1.9403956436130239,1130.6017305777561,13.065805891708084,3.077631943981212,-0.04042490924193803,0.11614775855883312,2,48,1.0,1.0,0.9329608938547486
0,always,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,15.176035792375338,143.4957637928544,0,25.5,0.98,676.986524290672,0.29652429089457644,128.31972800047907,1401.0543936669421,1.3635768900571945,-2.8367749259403916,-2.6733276666766463,0.41082350831796854,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,12.895838814296447,143.95047868871546,0,29.0,0.98,673.4509979552791,0.1909979555001459,134.80463987441902,1400.8925160303436,1.3878603798404519,-2.9650677529556524,-2.8084299973837292,0.4054450362485878,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,17.602026369259317,130.99321297861675,0,29.0,0.9778110013811953,670.6019018312871,0.3536486851045959,117.14118660935742,1377.872762052177,1.8534269687829945,-2.466526350629166,-2.4404413876949467,0.35892005513030956,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,18.144825888821767,151.0463753082105,0,29.0,0.98,673.4222518774849,0.16225187770588426,132.9015494193887,1398.9353829490599,0.5953905309611733,-3.147642063762227,-2.7687822795705976,0.4520890837870924,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.7,False,1.25,f0.03+refill+sweep,10.738071062129823,146.1821108735486,0,22.0,0.98,680.3519883173373,0.23198831756138505,139.19403981141875,1418.2557778480127,1.148648550186374,-3.123592651934974,-2.8998758294045572,0.33967588612890326,2,48,15.0,0.0,0.9329608938547486
